spec,outcome,term,b,se,pval,lo,hi,n,r2
primary_stage3,maths,gs_strictness_enacted,.1059415502017255,.0563355459152067,.0634992527315464,-.0060878609996084,.2179709614030594,99,.527253430562901
primary_stage3,maths,gs_teaching_enacted,.0168585612026969,.0863458422940799,.8456729428001527,-.1548496154864704,.1885667378918642,99,.527253430562901
primary_stage1,ebac,gs_warmth_enacted,.159833305405173,.0568551265008274,.0061256577402388,.0467900820080201,.2728765288023259,99,.5959427365630579
primary_stage1,ebac,gs_strictness_enacted,.1690244562343562,.0584341128948388,.004851790756203,.0528417848636473,.2852071276050651,99,.5959427365630579
primary_warmth,ebac,gs_warmth_enacted,.2569259793205704,.0464386571964581,3.34821207042e-07,.1646089841879235,.3492429744532173,99,.5542022449242481
primary_strict,ebac,gs_strictness_enacted,.2766494503400207,.048239489274828,1.42131636027e-07,.1807525195190897,.3725463811609517,99,.5521903273245319
primary_stage2,ebac,gs_teaching_enacted,.2725834966088517,.0633002107738964,.0000438697996082,.1467468423492832,.3984201508684202,99,.5021491578937284
primary_stage3,ebac,gs_warmth_enacted,.1721657191986825,.0780202980344611,.0300652043237631,.0170138003070273,.3273176380903377,99,.596327387040591
primary_stage3,ebac,gs_strictness_enacted,.1744216228619229,.0594072723717321,.0042877052708454,.0562837467348375,.2925594989890083,99,.596327387040591
primary_stage3,ebac,gs_teaching_enacted,-.0247679971707626,.0925125485524669,.7895666744165415,-.2087393455387579,.1592033511972327,99,.596327387040591
primary_stage1,open,gs_warmth_enacted,.1364835323514707,.0605330870927223,.0267232078833123,.0161275379444873,.2568395267584541,99,.5184812157327032
primary_stage1,open,gs_strictness_enacted,.1390072730851291,.0657798235828693,.0375138810786352,.0082193608957967,.2697951852744615,99,.5184812157327032
primary_warmth,open,gs_warmth_enacted,.2163334436495714,.0410200472917307,9.82594267145e-07,.1347882884967976,.2978785988023452,99,.4865035996574996
primary_strict,open,gs_strictness_enacted,.2309095166607782,.0440076632884694,1.09714948040e-06,.1434251774729807,.3183938558485757,99,.4823451814164663
primary_stage2,open,gs_teaching_enacted,.2722012630361071,.0558932307404122,5.02682010941e-06,.1610891977500313,.3833133283221829,99,.4878978061299037
primary_stage3,open,gs_warmth_enacted,.0856714555488553,.0759739404125447,.262681573003251,-.0654110567937675,.2367539678914781,99,.5258775505435243
primary_stage3,open,gs_strictness_enacted,.1167698384848755,.0656308745825604,.0788257927349972,-.0137443531620744,.2472840301318254,99,.5258775505435243
primary_stage3,open,gs_teaching_enacted,.1020492334720478,.0992272984668397,.3066956525173525,-.0952751314869935,.2993735984310891,99,.5258775505435243
ladder_a,overall,gs_warmth_enacted,.1547299090912626,.0445650218477839,.0008315094182588,.0660594946161689,.2434003235663563,95,.6554463960990227
ladder_a,overall,gs_strictness_enacted,.1276770287880568,.0471016798067939,.0081949606096442,.0339594606646328,.2213945969114808,95,.6554463960990227
ladder_b,overall,gs_warmth_enacted,.1431480534462415,.045321078114857,.0021958355225686,.053037608298203,.23325849859428,99,.623652407593831
ladder_b,overall,gs_strictness_enacted,.1311728464760815,.0473297591033396,.006854338384984,.0370686053822835,.2252770875698795,99,.623652407593831
ladder_c,overall,gs_warmth_enacted,.1431480534462417,.0453210781148564,.0021958355225683,.0530376082982044,.233258498594279,100,.6393047507665419
ladder_c,overall,gs_strictness_enacted,.1311728464760814,.0473297591033392,.0068543383849836,.0370686053822841,.2252770875698787,100,.6393047507665419
ladder_d,overall,gs_warmth_enacted,.1402450826110807,.0460522707991975,.0030660608519964,.048725871599375,.2317642936227864,100,.6025454707529638
ladder_d,overall,gs_strictness_enacted,.1272223081146811,.0464169525074887,.0074205262810518,.034978368840199,.2194662473891632,100,.6025454707529638
rob_nograde,overall,gs_warmth_enacted,.1402450826110807,.0460522707991975,.0030660608519964,.048725871599375,.2317642936227864,100,.6025454707529638
rob_nograde,overall,gs_strictness_enacted,.1272223081146811,.0464169525074887,.0074205262810518,.034978368840199,.2194662473891632,100,.6025454707529638
rob_singleyear,overall,gs_warmth_enacted,.1581684135101264,.0460594817361181,.0009215600577393,.0665898241391695,.2497470028810833,99,.6398078369761357
rob_singleyear,overall,gs_strictness_enacted,.1260377657643389,.045446300561737,.0068184262430321,.0356783448438732,.2163971866848046,99,.6398078369761357
rob_att8total,overall,gs_warmth_enacted,1.174195185880158,.5231482086632409,.0273990972684969,.1340363917408389,2.214353980019477,99,.8738572533008205
rob_att8total,overall,gs_strictness_enacted,1.732484789324202,.5033967341790314,.0008991988138453,.7315972180271919,2.733372360621212,99,.8738572533008205
rob_att8eng,overall,gs_warmth_enacted,.3074282186585566,.1029674724906729,.0036951338943367,.1027012975913079,.5121551397258053,99,.8269312464567157
rob_att8eng,overall,gs_strictness_enacted,.2244993571732677,.1058205237725063,.0367905385473427,.0140998058039629,.4348989085425725,99,.8269312464567157
rob_wxs,overall,gs_warmth_enacted,-.1674661435082077,.2660036598565672,.5306889796653074,-.6964435929498956,.3615113059334801,99,.6314618008330817
rob_wxs,overall,gs_strictness_enacted,-.1611964049261695,.2449783639089678,.5123357440237604,-.648362747595436,.325969937743097,99,.6314618008330817
rob_wxs,overall,wxs_p,.0448489721579523,.038451497976362,.2467625964523783,-.0316160484275381,.1213139927434427,99,.6314618008330817
rob_semh,overall,gs_warmth_enacted,.1559218027521031,.0438891038447748,.0006468735075373,.0685627267774592,.243280878726747,94,.6239430475990811
rob_semh,overall,gs_strictness_enacted,.1048619557725247,.0405881419523941,.0116222832648391,.0240732800905316,.1856506314545178,94,.6239430475990811
rob_semh,overall,semh_baseline_2016,-.0028227246304757,.0019286781086233,.1472835172608997,-.0066616623772512,.0010162131162998,94,.6239430475990811
primary_late,overall,gs_warmth_enacted,.1390804938282031,.0453661718396797,.0029013870101889,.0488955290219864,.2292654586344198,100,.6179524067548061
primary_late,overall,gs_strictness_enacted,.1332804784171286,.0470653265686626,.0057630726706262,.039717705803474,.2268432510307832,100,.6179524067548061
